 3893.6  380.4 12:36:41.974 62:11:30.34 4
 1072.5  386.4 12:36:56.672 62:12:15.89 4
 2141.9  388.8 12:36:51.088 62:11:58.81 4
 1574.1  389.4 12:36:54.048 62:12:07.95 2
  358.5  391.4 12:37:00.386 62:12:27.53 4
  604.9  391.6 12:36:59.100 62:12:23.59 4
 1217.1  394.7 12:36:55.899 62:12:13.87 4
  628.7  397.4 12:36:58.963 62:12:23.42 3
 2383.6  402.2 12:36:49.797 62:11:55.41 4
 2546.8  404.0 12:36:48.942 62:11:52.85 4
  635.7  404.8 12:36:58.909 62:12:23.57 4
 3634.0  406.4 12:36:43.267 62:11:35.46 3
 1814.0  407.4 12:36:52.756 62:12:04.75 2
 3416.4  408.0 12:36:44.398 62:11:39.02 4
 3008.2  408.7 12:36:46.525 62:11:45.61 4
 1190.3  410.7 12:36:56.002 62:12:14.89 4
 3176.0  412.9 12:36:45.640 62:11:43.06 2
 2982.3  415.4 12:36:46.644 62:11:46.27 4
  310.2  416.6 12:37:00.581 62:12:29.23 3
 2713.6  417.0 12:36:48.042 62:11:50.65 4
 1495.0  418.6 12:36:54.394 62:12:10.28 4
  952.3  421.0 12:36:57.220 62:12:19.08 4
 1558.9  422.2 12:36:54.053 62:12:09.39 2
 3076.5  422.7 12:36:46.137 62:11:45.02 4
 2460.8  426.4 12:36:49.339 62:11:55.05 4
 1473.3  427.2 12:36:54.488 62:12:10.94 4
 3232.6  433.0 12:36:45.299 62:11:42.89 4
 2341.5  435.4 12:36:49.940 62:11:57.30 3
 3016.9  435.7 12:36:46.417 62:11:46.45 4
 1942.7  439.3 12:36:52.011 62:12:03.85 4
 3936.5  440.0 12:36:41.613 62:11:31.82 4
 3639.0  441.1 12:36:43.161 62:11:36.65 4
 1731.1  447.2 12:36:53.097 62:12:07.53 3
  203.4  452.7 12:37:01.055 62:12:32.25 4
 2165.4  454.0 12:36:50.816 62:12:00.81 4
 3529.3  457.3 12:36:43.696 62:11:39.00 4
 3799.0  458.8 12:36:42.287 62:11:34.72 3
 2807.9  465.2 12:36:47.439 62:11:50.89 3
  546.2  466.3 12:36:59.235 62:12:27.25 4
 3240.4  466.6 12:36:45.181 62:11:43.99 4
 1049.4  467.7 12:36:56.606 62:12:19.23 4
  660.8  471.1 12:36:58.626 62:12:25.59 4
 3672.3  473.6 12:36:42.913 62:11:37.30 4
 3147.2  476.2 12:36:45.645 62:11:45.84 4
 3375.8  476.6 12:36:44.452 62:11:42.17 4
 2713.4  477.8 12:36:47.903 62:11:52.87 4
  822.7  478.1 12:36:57.765 62:12:23.24 3
  943.3  483.9 12:36:57.123 62:12:21.52 4
 1452.1  485.5 12:36:54.465 62:12:13.41 4
 1033.0  485.5 12:36:56.651 62:12:20.14 1
 3333.0  487.8 12:36:44.650 62:11:43.27 4
 1417.7  489.4 12:36:54.635 62:12:14.10 4
 3211.9  492.9 12:36:45.269 62:11:45.40 3
 3315.1  494.0 12:36:44.729 62:11:43.78 4
 1944.0  497.5 12:36:51.871 62:12:05.95 3
 1636.2  498.7 12:36:53.474 62:12:10.93 4
 1188.1  505.2 12:36:55.797 62:12:18.37 4
 2764.7  508.1 12:36:47.566 62:11:53.15 4
 2455.8  508.9 12:36:49.175 62:11:58.14 3
 2977.8  511.5 12:36:46.447 62:11:49.84 2
 1013.2  518.1 12:36:56.680 62:12:21.64 1
 3270.6  518.6 12:36:44.904 62:11:45.40 4
 2051.7  521.5 12:36:51.254 62:12:05.09 4
  747.2  523.6 12:36:58.055 62:12:26.12 4
  574.0  527.1 12:36:58.951 62:12:29.02 4
 1368.7  534.7 12:36:54.787 62:12:16.54 4
 3290.3  538.1 12:36:44.757 62:11:45.79 3
 3473.6  539.0 12:36:43.799 62:11:42.88 1
 3062.9  540.3 12:36:45.937 62:11:49.53 4
 2953.3  541.4 12:36:46.506 62:11:51.33 1
  258.3  541.4 12:37:00.565 62:12:34.61 1
 2474.5  543.0 12:36:49.000 62:11:59.08 4
 1920.9  543.5 12:36:51.886 62:12:08.00 4
 3373.9  548.3 12:36:44.297 62:11:44.82 3
 1957.5  548.5 12:36:51.684 62:12:07.59 4
 2326.4  549.0 12:36:49.758 62:12:01.68 3
  601.2  551.7 12:36:58.752 62:12:29.48 4
 1409.2  552.9 12:36:54.534 62:12:16.56 4
 1466.6  553.3 12:36:54.233 62:12:15.65 1
 1323.2  554.2 12:36:54.979 62:12:17.98 3
  616.5  554.3 12:36:58.666 62:12:29.33 4
  771.5  558.8 12:36:57.847 62:12:27.01 4
 3153.5  563.8 12:36:45.411 62:11:48.93 4
 1883.7  573.1 12:36:52.012 62:12:09.67 4
 3678.4  573.8 12:36:42.651 62:11:40.85 3
 2884.8  573.9 12:36:46.789 62:11:53.61 4
 2374.1  574.0 12:36:49.452 62:12:01.83 4
 3077.2  574.7 12:36:45.784 62:11:50.55 4
  814.5  575.7 12:36:57.584 62:12:26.94 4
  885.8  576.2 12:36:57.211 62:12:25.81 4
 1425.2  581.3 12:36:54.385 62:12:17.34 4
 2189.2  582.8 12:36:50.396 62:12:05.12 4
